match,team_name,direction_class,n,dos_mean,xt_delta_mean,success_rate
Bayern_Hamburg,FC Bayern München,diagonal,326,0.013529978139113615,0.0023975774770284525,0.6932515337423313
Bayern_Hamburg,FC Bayern München,forward,135,0.013233650053538966,0.004158602169181017,0.5333333333333333
Bayern_Hamburg,FC Bayern München,sideways,533,0.012989549532309392,-0.002475602698335538,0.8292682926829268
Bayern_Hamburg,Hamburger SV,diagonal,164,0.012196063907492283,0.0018440835742559677,0.5426829268292683
Bayern_Hamburg,Hamburger SV,forward,74,0.009810366232654948,0.0010137783272135168,0.3918918918918919
Bayern_Hamburg,Hamburger SV,sideways,248,0.008825602401298416,-0.0014904983970244023,0.7661290322580645
Dortmund_Stuttgart,Borussia Dortmund,diagonal,192,0.01074785968290591,0.001429872295109882,0.609375
Dortmund_Stuttgart,Borussia Dortmund,forward,110,0.008942181613765953,-0.00011814223932694988,0.43636363636363634
Dortmund_Stuttgart,Borussia Dortmund,sideways,275,0.011278569529670632,-0.0005929703368062158,0.7418181818181818
Dortmund_Stuttgart,VfB Stuttgart,diagonal,251,0.013523627543206695,0.0010782333604089068,0.5976095617529881
Dortmund_Stuttgart,VfB Stuttgart,forward,119,0.012140817422470218,0.004276035561290222,0.5378151260504201
Dortmund_Stuttgart,VfB Stuttgart,sideways,335,0.012624794250440195,-0.0013500327880175834,0.764179104477612
Frankfurt_Bayern,Eintracht Frankfurt,diagonal,155,0.008979292382609695,0.00013541507046919935,0.6645161290322581
Frankfurt_Bayern,Eintracht Frankfurt,forward,93,0.009978577330296392,0.0008366904477253043,0.34408602150537637
Frankfurt_Bayern,Eintracht Frankfurt,sideways,342,0.007908684562925795,-0.0013231109359039732,0.7777777777777778
Frankfurt_Bayern,FC Bayern München,diagonal,309,0.011882260734805005,0.0018788238999008621,0.6310679611650486
Frankfurt_Bayern,FC Bayern München,forward,124,0.013347728662457618,0.0028713049514112465,0.5483870967741935
Frankfurt_Bayern,FC Bayern München,sideways,504,0.012079993246188345,-0.0025714718062584793,0.7996031746031746
Frankfurt_Union,1. FC Union Berlin,diagonal,92,0.013092154679486738,0.0012919371722680145,0.5869565217391305
Frankfurt_Union,1. FC Union Berlin,forward,103,0.01066314961330657,-0.0008625084101481887,0.2815533980582524
Frankfurt_Union,1. FC Union Berlin,sideways,108,0.011111890476798303,-0.0015030500113871537,0.7222222222222222
Frankfurt_Union,Eintracht Frankfurt,diagonal,327,0.011189373124882274,0.001731086727571152,0.654434250764526
Frankfurt_Union,Eintracht Frankfurt,forward,142,0.013369439769339554,0.0015721681526761181,0.38028169014084506
Frankfurt_Union,Eintracht Frankfurt,sideways,477,0.012026458872447823,-0.0010471041525075297,0.7777777777777778
Union_Bayern,1. FC Union Berlin,diagonal,120,0.011877091058882234,-0.0010061602542403502,0.5666666666666667
Union_Bayern,1. FC Union Berlin,forward,90,0.011432571801514836,-0.0010602034065948923,0.4
Union_Bayern,1. FC Union Berlin,sideways,145,0.009890163373038274,-0.0027459431963174716,0.7586206896551724
Union_Bayern,FC Bayern München,diagonal,336,0.012463236473842019,0.001752946075032239,0.6428571428571429
Union_Bayern,FC Bayern München,forward,147,0.01478832988069527,0.0034721044969622237,0.4421768707482993
Union_Bayern,FC Bayern München,sideways,547,0.011982137367586207,-0.0018845760603669803,0.7769652650822669
